full_image_url,top_color,top_category,top_pattern,bottom_color,bottom_category,bottom_pattern,top_url,bottom_url
https://dummy.full/0,Black,Shirt,Solid,Black,Skirt,Floral,https://dummy.top/0,https://dummy.bottom/0
https://dummy.full/1,Brown,Sweatshirt,Striped,Blue,Skirt,Floral,https://dummy.top/1,https://dummy.bottom/1
https://dummy.full/2,Beige,Blazer,Floral,Beige,Skirt,Plaid,https://dummy.top/2,https://dummy.bottom/2
https://dummy.full/3,Black,Sweater,Solid,Brown,Jeans,Floral,https://dummy.top/3,https://dummy.bottom/3
https://dummy.full/4,Purple,T-Shirt,Plaid,White,Skirt,Floral,https://dummy.top/4,https://dummy.bottom/4
https://dummy.full/5,Blue,Sweater,Solid,Purple,Jeans,Floral,https://dummy.top/5,https://dummy.bottom/5
https://dummy.full/6,Black,T-Shirt,Striped,Gray,Jeans,Spotted,https://dummy.top/6,https://dummy.bottom/6
https://dummy.full/7,Pink,Shirt,Solid,White,Skirt,Solid,https://dummy.top/7,https://dummy.bottom/7
https://dummy.full/8,Red,Sweatshirt,Solid,Green,Skirt,Plaid,https://dummy.top/8,https://dummy.bottom/8
https://dummy.full/9,Purple,Shirt,Plaid,Beige,Pants,Striped,https://dummy.top/9,https://dummy.bottom/9
https://dummy.full/10,Orange,T-Shirt,Plaid,Black,Jeans,Solid,https://dummy.top/10,https://dummy.bottom/10
https://dummy.full/11,Pink,Shirt,Striped,Blue,Jeans,Floral,https://dummy.top/11,https://dummy.bottom/11
https://dummy.full/12,Green,Shirt,Spotted,Blue,Skirt,Solid,https://dummy.top/12,https://dummy.bottom/12
https://dummy.full/13,Blue,Vest,Spotted,Black,Jeans,Floral,https://dummy.top/13,https://dummy.bottom/13
https://dummy.full/14,Green,Vest,Floral,Beige,Jeans,Solid,https://dummy.top/14,https://dummy.bottom/14
https://dummy.full/15,Green,T-Shirt,Plaid,White,Jeans,Floral,https://dummy.top/15,https://dummy.bottom/15
https://dummy.full/16,Brown,Vest,Plaid,Green,Jeans,Spotted,https://dummy.top/16,https://dummy.bottom/16
https://dummy.full/17,Black,Shirt,Spotted,Blue,Skirt,Spotted,https://dummy.top/17,https://dummy.bottom/17
https://dummy.full/18,Green,Blazer,Spotted,Red,Jeans,Plaid,https://dummy.top/18,https://dummy.bottom/18
https://dummy.full/19,White,Jacket,Striped,Orange,Jeans,Solid,https://dummy.top/19,https://dummy.bottom/19
https://dummy.full/20,Brown,Sweatshirt,Solid,Red,Skirt,Spotted,https://dummy.top/20,https://dummy.bottom/20
https://dummy.full/21,White,Jacket,Spotted,Gray,Pants,Floral,https://dummy.top/21,https://dummy.bottom/21
https://dummy.full/22,White,Sweater,Plaid,Gray,Pants,Solid,https://dummy.top/22,https://dummy.bottom/22
https://dummy.full/23,Pink,Sweatshirt,Solid,Yellow,Jeans,Plaid,https://dummy.top/23,https://dummy.bottom/23
https://dummy.full/24,Beige,Vest,Solid,Red,Jeans,Floral,https://dummy.top/24,https://dummy.bottom/24
https://dummy.full/25,Brown,Sweatshirt,Striped,Yellow,Jeans,Spotted,https://dummy.top/25,https://dummy.bottom/25
https://dummy.full/26,Black,Sweater,Plaid,Black,Skirt,Floral,https://dummy.top/26,https://dummy.bottom/26
https://dummy.full/27,White,Jacket,Solid,Beige,Skirt,Solid,https://dummy.top/27,https://dummy.bottom/27
https://dummy.full/28,Purple,Jacket,Floral,Green,Skirt,Plaid,https://dummy.top/28,https://dummy.bottom/28
https://dummy.full/29,Yellow,Jacket,Plaid,Beige,Pants,Striped,https://dummy.top/29,https://dummy.bottom/29
https://dummy.full/30,Red,Sweatshirt,Floral,Gray,Jeans,Floral,https://dummy.top/30,https://dummy.bottom/30
https://dummy.full/31,Pink,Blazer,Striped,Gray,Pants,Plaid,https://dummy.top/31,https://dummy.bottom/31
https://dummy.full/32,Yellow,Jacket,Plaid,Brown,Pants,Spotted,https://dummy.top/32,https://dummy.bottom/32
https://dummy.full/33,Yellow,Vest,Plaid,Beige,Skirt,Plaid,https://dummy.top/33,https://dummy.bottom/33
https://dummy.full/34,Green,Cardigan,Floral,Brown,Pants,Spotted,https://dummy.top/34,https://dummy.bottom/34
https://dummy.full/35,Pink,T-Shirt,Solid,Blue,Jeans,Solid,https://dummy.top/35,https://dummy.bottom/35
